52,Edson Airport,Edson,Canada,YET,CYET,"","",3043,"","",America/Edmonton,airport
53,Eureka Airport,Eureka,Canada,YEU,CYEU,"","",256,"","",America/Winnipeg,airport
54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,"","",224,"","",America/Edmonton,airport
55,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,"","",110,"","",America/Toronto,airport
56,Fredericton Airport,Fredericton,Canada,YFC,CYFC,"","",68,"","",America/Halifax,airport
57,Forestville Airport,Forestville,Canada,YFE,CYFE,"","",293,"","",America/Toronto,airport
58,Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,"","",997,"","",America/Winnipeg,airport
59,Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,"","",526,"","",America/Edmonton,airport
60,Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,"","",555,"","",America/Edmonton,airport
61,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,"","",305,"","",America/Toronto,airport
62,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,"","",639,"","",America/Toronto,airport
63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,"","",112,"","",America/Toronto,airport
64,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,"","",1144,"","",America/Toronto,airport
65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,"","",35,"","",America/Toronto,airport
66,Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,"","",1175,"","",America/Regina,airport
67,Dryden Regional Airport,Dryden,Canada,YHD,CYHD,"","",1354,"","",America/Winnipeg,airport
68,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,"","",117,"","",America/Edmonton,airport
69,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,"","",152,"","",America/Edmonton,airport
70,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,"","",780,"","",America/Toronto,airport
71,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,"","",90,"","",America/Toronto,airport
72,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,"","",541,"","",America/Edmonton,airport
73,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,"","",477,"","",America/Halifax,airport
74,Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,"","",1408,"","",America/Coral_Harbour,airport
75,Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,"","",181,"","",America/Toronto,airport
76,St Jean Airport,St. Jean,Canada,YJN,CYJN,"","",136,"","",America/Toronto,airport
77,Stephenville Airport,Stephenville,Canada,YJT,CYJT,"","",84,"","",America/St_Johns,airport
78,Kamloops Airport,Kamloops,Canada,YKA,CYKA,"","",1133,"","",America/Vancouver,airport
