86,Airdeal Oy,\N,"",ADU,AIRDEAL,Finland
87,Advance Air Charters,\N,"",ADV,ADVANCE,Canada
88,Air Andaman,\N,"",ADW,AIR ANDAMAN,Thailand
89,Anderson Aviation,\N,"",ADX,ANDAX,United States
90,Air Europa,\N,UX,AEA,EUROPA,Spain
91,Air Southwest Ltd.,\N,"",ASW,AIRSOUTHWEST,Canada
92,Air Special,\N,"",ASX,AIRSPEC,Czech Republic
93,Aero Benin,\N,EM,AEB,AEROBEN,Benin
94,Aerocesar,\N,"",AEC,Aerovias Del Cesar,AEROCESAR
95,Aerotrans Airlines,\N,"",AED,"",Russia
96,Aegean Airlines,\N,A3,AEE,AEGEAN,Greece
97,Aerofumigaciones Sam,\N,"",AEG,FUMIGACIONES SAM,Chile
98,Aeroexpreso Interamericano,\N,"",AEI,INTERAM,Colombia
99,Air Express,\N,"",AEJ,KHAKI EXPRESS,Tanzania
100,Aerocon,\N,"",AEK,AEROCON,Bolivia
101,Aero Madrid,\N,"",AEM,AEROMADRID,Spain
102,Aeroenlaces Nacionales,\N,"",AEN,"",Mexico
103,Aeroservicios Ejecutivos Del Occidente,\N,"",AEO,AERO OCCIDENTE,Mexico
104,Aerotec,\N,"",AEP,AEROTEC,Spain
105,Air Atlantique,\N,KI,AAG,ATLANTIC,United Kingdom
106,Air Europe,\N,PE,AEL,AIR EUROPE,Italy
107,Air Alma,\N,"",AAJ,AIR ALMA,Canada
108,Air Express,\N,"",AEQ,LUNA,Sweden
109,Alaska Central Express,\N,KO,AER,ACE AIR,United States
110,ACES Colombia,\N,"",AES,ACES,Colombia
111,Aeronautical Radio of Thailand,\N,"",AET,AEROTHAI,Thailand
112,Astraeus,\N,5W,AEU,FLYSTAR,United Kingdom
113,Aeroventas,\N,"",AEV,AEROVENTAS,Mexico
114,Aerosvit Airlines,\N,VV,AEW,AEROSVIT,Ukraine
115,Airway Express,\N,"",AEX,AVCO,United States
116,Air Italy,\N,I9,AEY,AIR ITALY,Italy
117,Aerial Transit Company,\N,"",AEZ,AERIAL TRANZ,United States
118,Alfa Air,\N,"",AFA,BLUE ALFA,Czech Republic
119,American Falcon,\N,WK,AFB,AMERICAN FALCON,Argentina
120,Alliance Airlines,\N,QQ,UTY,UNITY,Australia
